url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
40,0,0,616.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
44,0,0,547.2,0,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
35,0,0,765.0,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
41,0,0,724.5,0,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
30,0,0,372.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
39,0,0,390.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
23,0,0,707.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
22,0,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,0,0,853.2,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
38,0,0,539.1,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0
51,0,0,543.6,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
52,0,1,503.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
35,1,1,315.9,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
31,0,0,475.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
57,0,0,407.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,0,0,511.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
39,0,0,849.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
23,0,0,746.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
45,0,0,633.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
43,0,1,369.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0
71,0,0,612.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
76,0,0,347.4,1,-1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0
26,0,0,360.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,734.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
52,0,0,637.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,0,0,846.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
